date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-10-30,129135479.40083385,0.0023911089906994113,2789907000.2090325,0.23740967814760647,2741680.1960555078,0.00023729956767185522,128330767.90393578,804711.4968980672,-0.007327497
2025-10-31,132367465.81673335,0.025284021045013046,2822940270.8166385,0.2558032135000742,2774757.958984539,0.0002561477533711589,131506847.43991187,860618.3768214672,-0.008054137
2025-11-03,133562423.1058273,0.00925448453268114,2852994872.0291853,0.22705429183148604,2804793.334921741,0.00022690905013462203,132770290.65563011,792132.4501971845,0.005494833
2025-11-04,134148652.34411529,0.004603281117802503,2881598411.423197,0.21415858389561915,2833389.476964759,0.00021410319892414863,133399910.7379467,748741.6061685896,-0.0041077733
2025-11-05,136397017.42441738,0.01698982125401659,2912352942.9883785,0.2292571041734423,2864186.0214564023,0.00022957028604837893,135595046.50981835,801970.9145990429,0.0022882223
2025-11-06,136680425.63781652,0.0022943547173794186,2941887623.3054576,0.21653464917915324,2893720.948421455,0.00021653645748829605,135907496.35423687,772929.2835796345,0.009702563
2025-11-07,137257118.6339717,0.00443386797950813,2971204270.327732,0.21449045747018228,2923050.914927339,0.00021458790729555078,136486880.3496791,770238.2842925703,-0.002546072
2025-11-10,138537881.0612503,0.009555869010195289,3002019085.632289,0.224504314320715,2953899.5340317995,0.00022475059517113591,137730883.7962558,806997.2649944955,0.005263567
2025-11-11,139598685.84425694,0.007885095738831402,3033573526.706544,0.2277676028573308,2985479.2066479577,0.00022794973024162365,138772805.16807252,825880.6761844242,-0.0039414167
2025-11-12,140591688.06193894,0.007321399675337338,3062647495.626133,0.20826821358494285,3014534.7621836155,0.00020813631131222528,139831689.70915192,759998.3527870215,-0.0006541014
2025-11-13,143982182.74080282,0.024350441940768554,3095557428.1198497,0.23408163702549717,3047509.82082662,0.00023454486604127642,143124907.14808568,857275.5927171283,0.0073400736
2025-11-14,145808488.27366433,0.012897585007247128,3126281119.077429,0.21338536736096037,3078226.7293936135,0.0002133382615978974,144995494.37068558,812993.902978742,-0.009680867
2025-11-17,148732654.97102076,0.020236035770260175,3152745537.620262,0.1815012202387211,3104645.8163506133,0.00018119032211221068,148036743.326666,695911.6443547509,-0.004625201
