symbol,sina_symbol,code,exchange,name,board
600062.SH,sh600062,600062,SH,华润双鹤,沪市主板
600063.SH,sh600063,600063,SH,皖维高新,沪市主板
600064.SH,sh600064,600064,SH,南京高科,沪市主板
600066.SH,sh600066,600066,SH,宇通客车,沪市主板
600067.SH,sh600067,600067,SH,冠城新材,沪市主板
600071.SH,sh600071,600071,SH,凤凰光学,沪市主板
600072.SH,sh600072,600072,SH,中船科技,沪市主板
600073.SH,sh600073,600073,SH,光明肉业,沪市主板
600075.SH,sh600075,600075,SH,新疆天业,沪市主板
600076.SH,sh600076,600076,SH,康欣新材,沪市主板
600078.SH,sh600078,600078,SH,澄星股份,沪市主板
600079.SH,sh600079,600079,SH,ST人福,沪市主板
600080.SH,sh600080,600080,SH,ST金花,沪市主板
600081.SH,sh600081,600081,SH,东风科技,沪市主板
600082.SH,sh600082,600082,SH,ST海泰,沪市主板
600084.SH,sh600084,600084,SH,*ST尼雅,沪市主板
600085.SH,sh600085,600085,SH,同仁堂,沪市主板
600088.SH,sh600088,600088,SH,中视传媒,沪市主板
600089.SH,sh600089,600089,SH,特变电工,沪市主板
600094.SH,sh600094,600094,SH,大名城,沪市主板
600095.SH,sh600095,600095,SH,湘财股份,沪市主板
600096.SH,sh600096,600096,SH,云天化,沪市主板
600097.SH,sh600097,600097,SH,开创国际,沪市主板
600098.SH,sh600098,600098,SH,XD广州发,沪市主板
600099.SH,sh600099,600099,SH,林海股份,沪市主板
600100.SH,sh600100,600100,SH,同方股份,沪市主板
600101.SH,sh600101,600101,SH,明星电力,沪市主板
600103.SH,sh600103,600103,SH,青山纸业,沪市主板
600104.SH,sh600104,600104,SH,上汽集团,沪市主板
600105.SH,sh600105,600105,SH,永鼎股份,沪市主板
600106.SH,sh600106,600106,SH,重庆路桥,沪市主板
600107.SH,sh600107,600107,SH,*ST尔雅,沪市主板
600108.SH,sh600108,600108,SH,亚盛集团,沪市主板
600109.SH,sh600109,600109,SH,国金证券,沪市主板
600110.SH,sh600110,600110,SH,诺德股份,沪市主板
600111.SH,sh600111,600111,SH,北方稀土,沪市主板
600113.SH,sh600113,600113,SH,浙江东日,沪市主板
600114.SH,sh600114,600114,SH,东睦股份,沪市主板
600115.SH,sh600115,600115,SH,中国东航,沪市主板
600116.SH,sh600116,600116,SH,三峡水利,沪市主板
600117.SH,sh600117,600117,SH,西宁特钢,沪市主板
600118.SH,sh600118,600118,SH,中国卫星,沪市主板
600119.SH,sh600119,600119,SH,*ST长投,沪市主板
600120.SH,sh600120,600120,SH,浙江东方,沪市主板
600121.SH,sh600121,600121,SH,郑州煤电,沪市主板
600123.SH,sh600123,600123,SH,兰花科创,沪市主板
600125.SH,sh600125,600125,SH,铁龙物流,沪市主板
600126.SH,sh600126,600126,SH,杭钢股份,沪市主板
600127.SH,sh600127,600127,SH,金健米业,沪市主板
600128.SH,sh600128,600128,SH,XD苏豪弘,沪市主板
600129.SH,sh600129,600129,SH,太极集团,沪市主板
600130.SH,sh600130,600130,SH,波导股份,沪市主板
600131.SH,sh600131,600131,SH,国网信通,沪市主板
600132.SH,sh600132,600132,SH,重庆啤酒,沪市主板
600133.SH,sh600133,600133,SH,东湖高新,沪市主板
600135.SH,sh600135,600135,SH,乐凯胶片,沪市主板
600136.SH,sh600136,600136,SH,ST明诚,沪市主板
600137.SH,sh600137,600137,SH,浪莎股份,沪市主板
600138.SH,sh600138,600138,SH,中青旅,沪市主板
600141.SH,sh600141,600141,SH,兴发集团,沪市主板
600143.SH,sh600143,600143,SH,金发科技,沪市主板
600148.SH,sh600148,600148,SH,长春一东,沪市主板
600149.SH,sh600149,600149,SH,廊坊发展,沪市主板
600150.SH,sh600150,600150,SH,中国船舶,沪市主板
600151.SH,sh600151,600151,SH,航天机电,沪市主板
600152.SH,sh600152,600152,SH,维科技术,沪市主板
600153.SH,sh600153,600153,SH,建发股份,沪市主板
600155.SH,sh600155,600155,SH,华创云信,沪市主板
600156.SH,sh600156,600156,SH,华升股份,沪市主板
600157.SH,sh600157,600157,SH,永泰能源,沪市主板
600158.SH,sh600158,600158,SH,中体产业,沪市主板
600159.SH,sh600159,600159,SH,大龙地产,沪市主板
600160.SH,sh600160,600160,SH,巨化股份,沪市主板
600161.SH,sh600161,600161,SH,天坛生物,沪市主板
600162.SH,sh600162,600162,SH,香江控股,沪市主板
600163.SH,sh600163,600163,SH,中闽能源,沪市主板
600165.SH,sh600165,600165,SH,ST宁科,沪市主板
600166.SH,sh600166,600166,SH,福田汽车,沪市主板
600167.SH,sh600167,600167,SH,联美控股,沪市主板
600168.SH,sh600168,600168,SH,XD武汉控,沪市主板
600169.SH,sh600169,600169,SH,ST太重,沪市主板
600170.SH,sh600170,600170,SH,上海建工,沪市主板
600171.SH,sh600171,600171,SH,上海贝岭,沪市主板
600172.SH,sh600172,600172,SH,黄河旋风,沪市主板
600173.SH,sh600173,600173,SH,卧龙新能,沪市主板
600176.SH,sh600176,600176,SH,中国巨石,沪市主板
600177.SH,sh600177,600177,SH,雅戈尔,沪市主板
600178.SH,sh600178,600178,SH,东安动力,沪市主板
600179.SH,sh600179,600179,SH,安通控股,沪市主板
600180.SH,sh600180,600180,SH,*ST瑞茂,沪市主板
600182.SH,sh600182,600182,SH,S佳通,沪市主板
600183.SH,sh600183,600183,SH,生益科技,沪市主板
600184.SH,sh600184,600184,SH,光电股份,沪市主板
600185.SH,sh600185,600185,SH,珠免集团,沪市主板
600186.SH,sh600186,600186,SH,莲花控股,沪市主板
600187.SH,sh600187,600187,SH,*ST国中,沪市主板
600188.SH,sh600188,600188,SH,兖矿能源,沪市主板
600189.SH,sh600189,600189,SH,泉阳泉,沪市主板
600191.SH,sh600191,600191,SH,华资实业,沪市主板
600192.SH,sh600192,600192,SH,长城电工,沪市主板
600193.SH,sh600193,600193,SH,退市创兴,沪市主板
600195.SH,sh600195,600195,SH,中牧股份,沪市主板
600196.SH,sh600196,600196,SH,复星医药,沪市主板
600197.SH,sh600197,600197,SH,伊力特,沪市主板
600198.SH,sh600198,600198,SH,大唐电信,沪市主板
600199.SH,sh600199,600199,SH,金种子酒,沪市主板
600201.SH,sh600201,600201,SH,生物股份,沪市主板
600202.SH,sh600202,600202,SH,哈空调,沪市主板
600203.SH,sh600203,600203,SH,福日电子,沪市主板
